Position,Number,Driver,Constructor,Laps,Time/Retired,Grid,Points
1,33,Netherlands Max Verstappen,Red Bull Racing-Honda,71,1:23:54.513,1,26
2,77,Finland Valtteri Bottas,Mercedes,71,+17.973,5,18
3,4,United Kingdom Lando Norris,McLaren-Mercedes,71,+20.019,2,15
4,44,United Kingdom Lewis Hamilton,Mercedes,71,+46.452,4,12
5,55,Spain Carlos Sainz Jr.,Ferrari,71,+57.144,10,10
6,11,Mexico Sergio Pérez,Red Bull Racing-Honda,71,+57.915,3,8
7,3,Australia Daniel Ricciardo,McLaren-Mercedes,71,+1:00.395,13,6
8,16,Monaco Charles Leclerc,Ferrari,71,+1:01.195,12,4
9,10,France Pierre Gasly,AlphaTauri-Honda,71,+1:01.844,6,2
10,14,Spain Fernando Alonso,Alpine-Renault,70,+1 lap,14,1
11,63,United Kingdom George Russell,Williams-Mercedes,70,+1 lap,8,
12,22,Japan Yuki Tsunoda,AlphaTauri-Honda,70,+1 lap,7,
13,18,Canada Lance Stroll,Aston Martin-Mercedes,70,+1 lap,9,
14,99,Italy Antonio Giovinazzi,Alfa Romeo Racing-Ferrari,70,+1 lap,15,
15,7,Finland Kimi Räikkönen,Alfa Romeo Racing-Ferrari,70,+1 lap,16,
16,6,Canada Nicholas Latifi,Williams-Mercedes,70,+1 lap,18,
17,5,Germany Sebastian Vettel,Aston Martin-Mercedes,69,Collision,11,
18,47,Germany Mick Schumacher,Haas-Ferrari,69,+2 laps,19,
19,9,Russian Automobile Federation Nikita Mazepin,Haas-Ferrari,69,+2 laps,20,
Ret,31,France Esteban Ocon,Alpine-Renault,0,Collision,17,
