Position,Number,Driver,Constructor,Laps,Time/Retired,Grid,Points
1,11,Mexico Sergio Pérez,Red Bull Racing-Honda,51,2:13:36.410,6,25
2,5,Germany Sebastian Vettel,Aston Martin-Mercedes,51,+1.385,11,18
3,10,France Pierre Gasly,AlphaTauri-Honda,51,+2.762,4,15
4,16,Monaco Charles Leclerc,Ferrari,51,+3.828,1,12
5,4,United Kingdom Lando Norris,McLaren-Mercedes,51,+4.754,9,10
6,14,Spain Fernando Alonso,Alpine-Renault,51,+6.382,8,8
7,22,Japan Yuki Tsunoda,AlphaTauri-Honda,51,+6.624,7,6
8,55,Spain Carlos Sainz Jr.,Ferrari,51,+7.709,5,4
9,3,Australia Daniel Ricciardo,McLaren-Mercedes,51,+8.874,13,2
10,7,Finland Kimi Räikkönen,Alfa Romeo Racing-Ferrari,51,+9.576,14,1
11,99,Italy Antonio Giovinazzi,Alfa Romeo Racing-Ferrari,51,+10.254,20,
12,77,Finland Valtteri Bottas,Mercedes,51,+11.264,10,
13,47,Germany Mick Schumacher,Haas-Ferrari,51,+14.241,17,
14,9,Russian Automobile Federation Nikita Mazepin,Haas-Ferrari,51,+14.315,18,
15,44,United Kingdom Lewis Hamilton,Mercedes,51,+17.668,2,
16,6,Canada Nicholas Latifi,Williams-Mercedes,51,+42.3791,16,
17,63,United Kingdom George Russell,Williams-Mercedes,48,Gearbox,15,
18,33,Netherlands Max Verstappen,Red Bull Racing-Honda,45,Tyre failure/Accident,3,
Ret,18,Canada Lance Stroll,Aston Martin-Mercedes,29,Tyre failure/Accident,19,
Ret,31,France Esteban Ocon,Alpine-Renault,3,Turbocharger,12	
