Position,Number,Driver,Constructor,Laps,Time/Retired,Grid,Points
1,44,United Kingdom Lewis Hamilton,Mercedes,56,1:32:03.897,2,25
2,33,Netherlands Max Verstappen,Red Bull Racing-Honda,56,+0.745,1,18
3,77,Finland Valtteri Bottas,Mercedes,56,+37.383,3,16
4,4,United Kingdom Lando Norris,McLaren-Mercedes,56,+46.466,7,12
5,11,Mexico Sergio Pérez,Red Bull Racing-Honda,56,+52.047,PL,10
6,16,Monaco Charles Leclerc,Ferrari,56,+59.090,4,8
7,3,Australia Daniel Ricciardo,McLaren-Mercedes,56,+1:06.004,6,6
8,55,Spain Carlos Sainz Jr.,Ferrari,56,+1:07.100,8,4
9,22,Japan Yuki Tsunoda,AlphaTauri-Honda,56,+1:25.692,13,2
10,18,Canada Lance Stroll,Aston Martin-Mercedes,56,+1:26.713,10,1
11,7,Finland Kimi Räikkönen,Alfa Romeo Racing-Ferrari,56,+1:28.864,14,
12,99,Italy Antonio Giovinazzi,Alfa Romeo Racing-Ferrari,55,+1 lap,12,
13,31,France Esteban Ocon,Alpine-Renault,55,+1 lap,16,
14,63,United Kingdom George Russell,Williams-Mercedes,55,+1 lap,15,
15,5,Germany Sebastian Vettel,Aston Martin-Mercedes,55,+1 lap2,20,
16,47,Germany Mick Schumacher,Haas-Ferrari,55,+1 lap,18,
17,10,France Pierre Gasly,AlphaTauri-Honda,52,Gearbox,5,
18,6,Canada Nicholas Latifi,Williams-Mercedes,51,Turbocharger,17,
Ret,14,Spain Fernando Alonso,Alpine-Renault,32,Brakes,9,
Ret,9,Russian Automobile Federation Nikita Mazepin,Haas-Ferrari,0,Accident,19,
