Position,Number,Driver,Constructor,Laps,Time/Retired,Grid,Points
1,44,United Kingdom Lewis Hamilton,Mercedes,52,1:58:23.284,2,25
2,16,Monaco Charles Leclerc,Ferrari,52,+3.871,4,18
3,77,Finland Valtteri Bottas,Mercedes,52,+11.125,3,15
4,4,United Kingdom Lando Norris,McLaren-Mercedes,52,+28.573,5,12
5,3,Australia Daniel Ricciardo,McLaren-Mercedes,52,+42.624,6,10
6,55,Spain Carlos Sainz Jr.,Ferrari,52,+43.454,10,8
7,14,Spain Fernando Alonso,Alpine-Renault,52,+1:12.093,7,6
8,18,Canada Lance Stroll,Aston Martin-Mercedes,52,+1:14.289,14,4
9,31,France Esteban Ocon,Alpine-Renault,52,+1:16.162,9,2
10,22,Japan Yuki Tsunoda,AlphaTauri-Honda,52,+1:22.065,16,1
11,10,France Pierre Gasly,AlphaTauri-Honda,52,+1:25.327,11,
12,63,United Kingdom George Russell,Williams-Mercedes,51,+1 lap,12,
13,99,Italy Antonio Giovinazzi,Alfa Romeo Racing-Ferrari,51,+1 lap,15,
14,6,Canada Nicholas Latifi,Williams-Mercedes,51,+1 lap,17,
15,7,Finland Kimi Räikkönen,Alfa Romeo Racing-Ferrari,51,+1 lap,13,
16,11,Mexico Sergio Pérez,Red Bull Racing-Honda,51,+1 lap,PL,
17,9,Russian Automobile Federation Nikita Mazepin,Haas-Ferrari,51,+1 lap,19,
18,47,Germany Mick Schumacher,Haas-Ferrari,51,+1 lap,18,
Ret,5,Germany Sebastian Vettel,Aston Martin-Mercedes,40,Overheating,8,
Ret,33,Netherlands Max Verstappen,Red Bull Racing-Honda,0,Collision,1,
