Position,Number,Driver,Constructor,Q1,Q2,Q3,Final grid
1,77,Finland Valtteri Bottas,Mercedes,1:20.685,1:20.032,1:19.555,1
2,44,United Kingdom Lewis Hamilton,Mercedes,1:20.543,1:19.936,1:19.651,2
3,33,Netherlands Max Verstappen,Red Bull Racing-Honda,1:21.035,1:20.229,1:19.966,3
4,4,United Kingdom Lando Norris,McLaren-Mercedes,1:20.916,1:20.059,1:19.989,4
5,3,Australia Daniel Ricciardo,McLaren-Mercedes,1:21.292,1:20.435,1:19.995,5
6,10,France Pierre Gasly,AlphaTauri-Honda,1:21.440,1:20.556,1:20.260,6
7,55,Spain Carlos Sainz Jr.,Ferrari,1:21.118,1:20.750,1:20.462,7
8,16,Monaco Charles Leclerc,Ferrari,1:21.219,1:20.767,1:20.510,8
9,11,Mexico Sergio Pérez,Red Bull Racing-Honda,1:21.308,1:20.882,1:20.611,9
10,99,Italy Antonio Giovinazzi,Alfa Romeo Racing-Ferrari,1:21.197,1:20.726,1:20.808,10
11,5,Germany Sebastian Vettel,Aston Martin-Mercedes,1:21.394,1:20.913,N/A,11
12,18,Canada Lance Stroll,Aston Martin-Mercedes,1:21.415,1:21.020,N/A,12
13,14,Spain Fernando Alonso,Alpine-Renault,1:21.487,1:21.069,N/A,13
14,31,France Esteban Ocon,Alpine-Renault,1:21.500,1:21.103,N/A,14
15,63,United Kingdom George Russell,Williams-Mercedes,1:21.890,1:21.392,N/A,15
16,6,Canada Nicholas Latifi,Williams-Mercedes,1:21.925,N/A,N/A,16
17,22,Japan Yuki Tsunoda,AlphaTauri-Honda,1:21.973,N/A,N/A,17
18,47,Germany Mick Schumacher,Haas-Ferrari,1:22.248,N/A,N/A,18
19,88,Poland Robert Kubica,Alfa Romeo Racing-Ferrari,1:22.530,N/A,N/A,19
20,9,Russian Automobile Federation Nikita Mazepin,Haas-Ferrari,1:22.716,N/A,N/A,20
