Position,Number,Driver,Constructor,Laps,Time/Retired,Grid,Points
1,33,Netherlands Max Verstappen,Red Bull Racing-Honda,78,1:38:56.820,2,25
2,55,Spain Carlos Sainz Jr.,Ferrari,78,+8.968,4,18
3,4,United Kingdom Lando Norris,McLaren-Mercedes,78,+19.427,5,15
4,11,Mexico Sergio Pérez,Red Bull Racing-Honda,78,+20.490,9,12
5,5,Germany Sebastian Vettel,Aston Martin-Mercedes,78,+52.591,8,10
6,10,France Pierre Gasly,AlphaTauri-Honda,78,+53.896,6,8
7,44,United Kingdom Lewis Hamilton,Mercedes,78,+1:08.231,7,7
8,18,Canada Lance Stroll,Aston Martin-Mercedes,77,+1 lap,13,4
9,31,France Esteban Ocon,Alpine-Renault,77,+1 lap,11,2
10,99,Italy Antonio Giovinazzi,Alfa Romeo Racing-Ferrari,77,+1 lap,10,1
11,7,Finland Kimi Räikkönen,Alfa Romeo Racing-Ferrari,77,+1 lap,14,
12,3,Australia Daniel Ricciardo,McLaren-Mercedes,77,+1 lap,12,
13,14,Spain Fernando Alonso,Alpine-Renault,77,+1 lap,17,
14,63,United Kingdom George Russell,Williams-Mercedes,77,+1 lap,15,
15,6,Canada Nicholas Latifi,Williams-Mercedes,77,+1 lap,18,
16,22,Japan Yuki Tsunoda,AlphaTauri-Honda,77,+1 lap,16,
17,9,Russian Automobile Federation Nikita Mazepin,Haas-Ferrari,75,+3 laps,19,
18,47,Germany Mick Schumacher,Haas-Ferrari,75,+3 laps,20,
Ret,77,Finland Valtteri Bottas,Mercedes,29,Wheel nut,3,
DNS,16,Monaco Charles Leclerc,Ferrari,0,Driveshaft hub,—,
