Position,Number,Driver,Constructor,Q1,Q2,Q3,Final grid
1,77,Finland Valtteri Bottas,Mercedes,1:18.722,1:18.458,1:18.348,1
2,44,United Kingdom Lewis Hamilton,Mercedes,1:18.857,1:17.968,1:18.355,2
3,33,Netherlands Max Verstappen,Red Bull Racing-Honda,1:19.485,1:18.650,1:18.746,3
4,11,Mexico Sergio Pérez,Red Bull Racing-Honda,1:19.337,1:18.845,1:18.890,4
5,55,Spain Carlos Sainz Jr.,Ferrari,1:19.309,1:18.813,1:19.039,5
6,31,France Esteban Ocon,Alpine-Renault,1:19.092,1:18.586,1:19.042,6
7,4,United Kingdom Lando Norris,McLaren-Mercedes,1:18.794,1:18.481,1:19.116,7
8,16,Monaco Charles Leclerc,Ferrari,1:19.373,1:18.769,1:19.306,8
9,10,France Pierre Gasly,AlphaTauri-Honda,1:19.464,1:19.052,1:19.475,9
10,5,Germany Sebastian Vettel,Aston Martin-Mercedes,1:19.403,1:18.970,1:19.659,10
11,63,United Kingdom George Russell,Williams-Mercedes,1:19.797,1:19.109,N/A,11
12,99,Italy Antonio Giovinazzi,Alfa Romeo Racing-Ferrari,1:19.410,1:19.216,N/A,12
13,14,Spain Fernando Alonso,Alpine-Renault,1:19.728,1:19.456,N/A,13
14,22,Japan Yuki Tsunoda,AlphaTauri-Honda,1:19.684,1:19.463,N/A,14
15,7,Finland Kimi Räikkönen,Alfa Romeo Racing-Ferrari,1:19.748,1:19.812,N/A,15
16,3,Australia Daniel Ricciardo,McLaren-Mercedes,1:19.839,N/A,N/A,16
17,18,Canada Lance Stroll,Aston Martin-Mercedes,1:19.913,N/A,N/A,17
18,6,Canada Nicholas Latifi,Williams-Mercedes,1:20.285,N/A,N/A,18
19,47,Germany Mick Schumacher,Haas-Ferrari,1:20.452,N/A,N/A,19
20,9,Russian Automobile Federation Nikita Mazepin,Haas-Ferrari,1:20.912,N/A,N/A,20
