Position,Number,Driver,Constructor,Laps,Time/Retired,Grid,Points
1,44,United Kingdom Lewis Hamilton,Mercedes,66,1:34:31.421,2,25
2,33,Netherlands Max Verstappen,Red Bull Racing-Honda,66,+29.148,3,18
3,77,Finland Valtteri Bottas,Mercedes,66,+33.530,1,16
4,11,Mexico Sergio Pérez,Red Bull Racing-Honda,66,+39.735,4,12
5,4,United Kingdom Lando Norris,McLaren-Mercedes,66,+51.369,7,10
6,16,Monaco Charles Leclerc,Ferrari,66,+55.781,8,8
7,31,France Esteban Ocon,Alpine-Renault,66,+1:03.749,6,6
8,14,Spain Fernando Alonso,Alpine-Renault,66,+1:04.808,13,4
9,3,Australia Daniel Ricciardo,McLaren-Mercedes,66,+1:15.369,16,2
10,10,France Pierre Gasly,AlphaTauri-Honda,66,+1:16.463,9,1
11,55,Spain Carlos Sainz Jr.,Ferrari,66,+1:18.955,5,
12,99,Italy Antonio Giovinazzi,Alfa Romeo Racing-Ferrari,65,+1 lap,12,
13,5,Germany Sebastian Vettel,Aston Martin-Mercedes,65,+1 lap,10,
14,18,Canada Lance Stroll,Aston Martin-Mercedes,65,+1 lap,17,
15,22,Japan Yuki Tsunoda,AlphaTauri-Honda,65,+1 lap,14,
16,63,United Kingdom George Russell,Williams-Mercedes,65,+1 lap,11,
17,47,Germany Mick Schumacher,Haas-Ferrari,64,+2 laps,19,
18,6,Canada Nicholas Latifi,Williams-Mercedes,64,+2 laps,18,
19,9,Russian Automobile Federation Nikita Mazepin,Haas-Ferrari,64,+2 laps,20,
Ret,7,Finland Kimi Räikkönen,Alfa Romeo Racing-Ferrari,1,Collision,15,
