Position,Number,Driver,Constructor,Laps,Time/Retired,Grid,Points
1,44,United Kingdom Lewis Hamilton,Mercedes,53,1:30:41.001,4,25
2,33,Netherlands Max Verstappen,Red Bull Racing-Honda,53,+53.271,20,18
3,55,Spain Carlos Sainz Jr.,Ferrari,53,+1:02.475,2,15
4,3,Australia Daniel Ricciardo,McLaren-Mercedes,53,+1:05.607,5,12
5,77,Finland Valtteri Bottas,Mercedes,53,+1:07.533,16,10
6,14,Spain Fernando Alonso,Alpine-Renault,53,+1:21.321,6,8
7,4,United Kingdom Lando Norris,McLaren-Mercedes,53,+1:27.224,1,7
8,7,Finland Kimi Räikkönen,Alfa Romeo Racing-Ferrari,53,+1:28.955,13,4
9,11,Mexico Sergio Pérez,Red Bull Racing-Honda,53,+1:30.076,8,2
10,63,United Kingdom George Russell,Williams-Mercedes,53,+1:40.551,3,1
11,18,Canada Lance Stroll,Aston Martin-Mercedes,53,+1:56.198,7,
12,5,Germany Sebastian Vettel,Aston Martin-Mercedes,52,+1 lap,10,
13,10,France Pierre Gasly,AlphaTauri-Honda,52,+1 lap,11,
14,31,France Esteban Ocon,Alpine-Renault,52,+1 lap,9,
15,16,Monaco Charles Leclerc,Ferrari,52,+1 lap,19,
16,99,Italy Antonio Giovinazzi,Alfa Romeo Racing-Ferrari,52,+1 lap,17,
17,22,Japan Yuki Tsunoda,AlphaTauri-Honda,52,+1 lap,12,
18,9,Russian Automobile Federation Nikita Mazepin,Haas-Ferrari,51,+2 laps,15,
19,6,Canada Nicholas Latifi,Williams-Mercedes,47,Accident damage,18,
Ret,47,Germany Mick Schumacher,Haas-Ferrari,32,Oil leak,14,
