Position,Number,Driver,Constructor,Q1,Q2,Q3,Final grid
1,44,United Kingdom Lewis Hamilton,Mercedes,1:28.466,1:27.712,1:27.511,1
2,77,Finland Valtteri Bottas,Mercedes,1:28.067,1:28.054,1:27.622,2
3,33,Netherlands Max Verstappen,Red Bull Racing-Honda,1:28.285,1:27.953,1:27.653,3
4,16,Monaco Charles Leclerc,Ferrari,1:28.310,1:28.459,1:28.054,4
5,11,Mexico Sergio Pérez,Red Bull Racing-Honda,1:28.021,1:27.946,1:28.123,5
6,10,France Pierre Gasly,AlphaTauri-Honda,1:28.401,1:28.314,1:28.125,6
7,4,United Kingdom Lando Norris,McLaren-Mercedes,1:28.338,1:28.344,1:28.180,7
8,22,Japan Yuki Tsunoda,AlphaTauri-Honda,1:28.503,1:28.222,1:28.442,8
9,31,France Esteban Ocon,Alpine-Renault,1:28.752,1:28.564,1:28.647,9
10,99,Italy Antonio Giovinazzi,Alfa Romeo Racing-Ferrari,1:28.889,1:28.616,1:28.754,10
11,3,Australia Daniel Ricciardo,McLaren-Mercedes,1:28.216,1:28.668,N/A,11
12,7,Finland Kimi Räikkönen,Alfa Romeo Racing-Ferrari,1:28.856,1:28.885,N/A,12
13,14,Spain Fernando Alonso,Alpine-Renault,1:28.944,1:28.920,N/A,13
14,63,United Kingdom George Russell,Williams-Mercedes,1:28.926,1:29.054,N/A,14
15,55,Spain Carlos Sainz Jr.,Ferrari,1:28.236,1:53.652,N/A,15
16,6,Canada Nicholas Latifi,Williams-Mercedes,1:29.177,N/A,N/A,16
17,5,Germany Sebastian Vettel,Aston Martin-Mercedes,1:29.198,N/A,N/A,17
18,18,Canada Lance Stroll,Aston Martin-Mercedes,1:29.368,N/A,N/A,18
19,47,Germany Mick Schumacher,Haas-Ferrari,1:29.464,N/A,N/A,19
20,9,Russian Automobile Federation Nikita Mazepin,Haas-Ferrari,1:30.473,N/A,N/A,20
