Position,Number,Driver,Constructor,Laps,Time/Retired,Grid,Points
1,44,United Kingdom Lewis Hamilton,Mercedes,50,2:06:15.185,1,26
2,33,Netherlands Max Verstappen,Red Bull Racing-Honda,50,+21.825,3,18
3,77,Finland Valtteri Bottas,Mercedes,50,+27.531,2,15
4,31,France Esteban Ocon,Alpine-Renault,50,+27.633,9,12
5,3,Australia Daniel Ricciardo,McLaren-Mercedes,50,+40.121,11,10
6,10,France Pierre Gasly,AlphaTauri-Honda,50,+41.613,6,8
7,16,Monaco Charles Leclerc,Ferrari,50,+44.475,4,6
8,55,Spain Carlos Sainz Jr.,Ferrari,50,+46.606,15,4
9,99,Italy Antonio Giovinazzi,Alfa Romeo Racing-Ferrari,50,+58.505,10,2
10,4,United Kingdom Lando Norris,McLaren-Mercedes,50,+1:01.358,7,1
11,18,Canada Lance Stroll,Aston Martin-Mercedes,50,+1:17.212,18,
12,6,Canada Nicholas Latifi,Williams-Mercedes,50,+1:23.249,16,
13,14,Spain Fernando Alonso,Alpine-Renault,49,+1 lap,13,
14,22,Japan Yuki Tsunoda,AlphaTauri-Honda,49,+1 lap,8,
15,7,Finland Kimi Räikkönen,Alfa Romeo Racing-Ferrari,49,+1 lap,12,
Ret,5,Germany Sebastian Vettel,Aston Martin-Mercedes,44,Collision damage,17,
Ret,11,Mexico Sergio Pérez,Red Bull Racing-Honda,14,Collision,5,
Ret,9,Russian Automobile Federation Nikita Mazepin,Haas-Ferrari,14,Collision,20,
Ret,63,United Kingdom George Russell,Williams-Mercedes,14,Collision,14,
Ret,47,Germany Mick Schumacher,Haas-Ferrari,8,Accident,19,
