Position,Number,Driver,Constructor,Q1,Q2,Q3,Final grid
1,33,Netherlands Max Verstappen,Red Bull Racing-Honda,1:04.489,1:04.433,1:03.841,1
2,77,Finland Valtteri Bottas,Mercedes,1:04.537,1:04.443,1:04.035,51
3,44,United Kingdom Lewis Hamilton,Mercedes,1:04.672,1:04.512,1:04.067,2
4,4,United Kingdom Lando Norris,McLaren-Mercedes,1:04.584,1:04.298,1:04.120,3
5,11,Mexico Sergio Pérez,Red Bull Racing-Honda,1:04.638,1:04.197,1:04.168,4
6,10,France Pierre Gasly,AlphaTauri-Honda,1:04.765,1:04.429,1:04.236,6
7,16,Monaco Charles Leclerc,Ferrari,1:04.745,1:04.646,1:04.472,7
8,22,Japan Yuki Tsunoda,AlphaTauri-Honda,1:04.608,1:04.631,1:04.514,11
9,14,Spain Fernando Alonso,Alpine-Renault,1:04.971,1:04.582,1:04.574,8
10,18,Canada Lance Stroll,Aston Martin-Mercedes,1:04.821,1:04.663,1:04.708,9
11,63,United Kingdom George Russell,Williams-Mercedes,1:05.033,1:04.671,N/A,10
12,55,Spain Carlos Sainz Jr.,Ferrari,1:04.859,1:04.800,N/A,12
13,3,Australia Daniel Ricciardo,McLaren-Mercedes,1:05.142,1:04.808,N/A,13
14,5,Germany Sebastian Vettel,Aston Martin-Mercedes,1:05.051,1:04.875,N/A,14
15,99,Italy Antonio Giovinazzi,Alfa Romeo Racing-Ferrari,1:05.092,1:04.913,N/A,15
16,6,Canada Nicholas Latifi,Williams-Mercedes,1:05.175,N/A,N/A,16
17,31,France Esteban Ocon,Alpine-Renault,1:05.217,N/A,N/A,17
18,7,Finland Kimi Räikkönen,Alfa Romeo Racing-Ferrari,1:05.429,N/A,N/A,18
19,47,Germany Mick Schumacher,Haas-Ferrari,1:06.041,N/A,N/A,19
20,9,Russian Automobile Federation Nikita Mazepin,Haas-Ferrari,1:06.192,N/A,N/A,20
