Position,Number,Driver,Constructor,Laps,Time/Retired,Grid,Points
1,33,Netherlands Max Verstappen,Red Bull Racing-Honda,56,1:34:36.552,1,25
2,44,United Kingdom Lewis Hamilton,Mercedes,56,+1.333,2,19
3,11,Mexico Sergio Pérez,Red Bull Racing-Honda,56,+42.223,3,15
4,16,Monaco Charles Leclerc,Ferrari,56,+52.246,4,12
5,3,Australia Daniel Ricciardo,McLaren-Mercedes,56,+1:16.854,6,10
6,77,Finland Valtteri Bottas,Mercedes,56,+1:20.128,9,8
7,55,Spain Carlos Sainz Jr.,Ferrari,56,+1:23.545,5,6
8,4,United Kingdom Lando Norris,McLaren-Mercedes,56,+1:24.395,7,4
9,22,Japan Yuki Tsunoda,AlphaTauri-Honda,55,+1 lap,10,2
10,5,Germany Sebastian Vettel,Aston Martin-Mercedes,55,+1 lap,18,1
11,99,Italy Antonio Giovinazzi,Alfa Romeo Racing-Ferrari,55,+1 lap,12,
12,18,Canada Lance Stroll,Aston Martin-Mercedes,55,+1 lap,13,
13,7,Finland Kimi Räikkönen,Alfa Romeo Racing-Ferrari,55,+1 lap,15,
14,63,United Kingdom George Russell,Williams-Mercedes,55,+1 lap,20,
15,6,Canada Nicholas Latifi,Williams-Mercedes,55,+1 lap,14,
16,47,Germany Mick Schumacher,Haas-Ferrari,54,+2 laps,16,
17,9,Russian Automobile Federation Nikita Mazepin,Haas-Ferrari,54,+2 laps,17,
Ret,14,Spain Fernando Alonso,Alpine-Renault,49,Rear wing,19,
Ret,31,France Esteban Ocon,Alpine-Renault,40,Mechanical,11,
Ret,10,France Pierre Gasly,AlphaTauri-Honda,14,Suspension,8,
