Position,Number,Driver,Constructor,Q1,Q2,Q3,Final grid
1,33,Netherlands Max Verstappen,Red Bull Racing-Honda,1:04.249,1:03.927,1:03.720,1
2,4,United Kingdom Lando Norris,McLaren-Mercedes,1:04.345,1:04.415,1:03.768,2
3,11,Mexico Sergio Pérez,Red Bull Racing-Honda,1:04.833,1:04.483,1:03.990,3
4,44,United Kingdom Lewis Hamilton,Mercedes,1:04.506,1:04.258,1:04.014,4
5,77,Finland Valtteri Bottas,Mercedes,1:04.563,1:04.376,1:04.049,5
6,10,France Pierre Gasly,AlphaTauri-Honda,1:04.841,1:04.412,1:04.107,6
7,22,Japan Yuki Tsunoda,AlphaTauri-Honda,1:04.967,1:04.518,1:04.273,7
8,5,Germany Sebastian Vettel,Aston Martin-Mercedes,1:04.846,1:04.493,1:04.570,11
9,63,United Kingdom George Russell,Williams-Mercedes,1:04.907,1:04.553,1:04.591,8
10,18,Canada Lance Stroll,Aston Martin-Mercedes,1:04.927,1:04.547,1:04.618,9
11,55,Spain Carlos Sainz Jr.,Ferrari,1:04.596,1:04.559,N/A,10
12,16,Monaco Charles Leclerc,Ferrari,1:04.906,1:04.600,N/A,12
13,3,Australia Daniel Ricciardo,McLaren-Mercedes,1:04.977,1:04.719,N/A,13
14,14,Spain Fernando Alonso,Alpine-Renault,1:04.472,1:04.856,N/A,14
15,99,Italy Antonio Giovinazzi,Alfa Romeo Racing-Ferrari,1:04.782,1:05.083,N/A,15
16,7,Finland Kimi Räikkönen,Alfa Romeo Racing-Ferrari,1:05.009,N/A,N/A,16
17,31,France Esteban Ocon,Alpine-Renault,1:05.051,N/A,N/A,17
18,6,Canada Nicholas Latifi,Williams-Mercedes,1:05.195,N/A,N/A,18
19,47,Germany Mick Schumacher,Haas-Ferrari,1:05.427,N/A,N/A,19
20,9,Russian Automobile Federation Nikita Mazepin,Haas-Ferrari,1:05.951,N/A,N/A,20
