Position,Number,Driver,Constructor,Laps,Time/Retired,Grid,Points
1,33,Netherlands Max Verstappen,Red Bull Racing-Honda,1,3:27.071,1,12.5
2,63,United Kingdom George Russell,Williams-Mercedes,1,+1.995,2,9
3,44,United Kingdom Lewis Hamilton,Mercedes,1,+2.601,3,7.5
4,3,Australia Daniel Ricciardo,McLaren-Mercedes,1,+4.496,4,6
5,5,Germany Sebastian Vettel,Aston Martin-Mercedes,1,+7.479,5,5
6,10,France Pierre Gasly,AlphaTauri-Honda,1,+10.177,6,4
7,31,France Esteban Ocon,Alpine-Renault,1,+11.579,8,3
8,16,Monaco Charles Leclerc,Ferrari,1,+12.608,9,2
9,6,Canada Nicholas Latifi,Williams-Mercedes,1,+15.484,10,1
10,55,Spain Carlos Sainz Jr.,Ferrari,1,+16.166,11,0.5
11,14,Spain Fernando Alonso,Alpine-Renault,1,+20.590,12,
12,77,Finland Valtteri Bottas,Mercedes,1,+22.414,13,
13,99,Italy Antonio Giovinazzi,Alfa Romeo Racing-Ferrari,1,+24.163,14,
14,4,United Kingdom Lando Norris,McLaren-Mercedes,1,+27.109,15,
15,22,Japan Yuki Tsunoda,AlphaTauri-Honda,1,+28.329,16,
16,47,Germany Mick Schumacher,Haas-Ferrari,1,+29.507,17,
17,9,Russian Automobile Federation Nikita Mazepin,Haas-Ferrari,1,+31.993,18,
18,7,Finland Kimi Räikkönen,Alfa Romeo Racing-Ferrari,1,+36.054,PL,
19,11,Mexico Sergio Pérez,Red Bull Racing-Honda,1,+38.205,PL,
20,18,Canada Lance Stroll,Aston Martin-Mercedes,1,+44.108,19,
