Position,Number,Driver,Constructor,Laps,Time/Retired,Grid,Points
1,33,Netherlands Max Verstappen,Red Bull Racing-Honda,63,2:02:34.598,3,25
2,44,United Kingdom Lewis Hamilton,Mercedes,63,+22.000,1,19
3,4,United Kingdom Lando Norris,McLaren-Mercedes,63,+23.702,7,15
4,16,Monaco Charles Leclerc,Ferrari,63,+25.579,4,12
5,55,Spain Carlos Sainz Jr.,Ferrari,63,+27.036,11,10
6,3,Australia Daniel Ricciardo,McLaren-Mercedes,63,+51.220,6,8
7,10,France Pierre Gasly,AlphaTauri-Honda,63,+52.818,5,6
8,18,Canada Lance Stroll,Aston Martin-Mercedes,63,+56.909,10,4
9,31,France Esteban Ocon,Alpine-Renault,63,+1:05.704,9,2
10,14,Spain Fernando Alonso,Alpine-Renault,63,+1:06.561,15,1
11,11,Mexico Sergio Pérez,Red Bull Racing-Honda,63,+1:07.151,2,
12,22,Japan Yuki Tsunoda,AlphaTauri-Honda,63,+1:13.184,20,
13,7,Finland Kimi Räikkönen,Alfa Romeo Racing-Ferrari,63,+1:34.773,16,
14,99,Italy Antonio Giovinazzi,Alfa Romeo Racing-Ferrari,62,+1 lap,17,
15,5,Germany Sebastian Vettel,Aston Martin-Mercedes,61,Gearbox,PL,
16,47,Germany Mick Schumacher,Haas-Ferrari,61,+2 laps,18,
17,9,Russian Automobile Federation Nikita Mazepin,Haas-Ferrari,61,+2 laps,19,
Ret,77,Finland Valtteri Bottas,Mercedes,30,Collision,8,
Ret,63,United Kingdom George Russell,Williams-Mercedes,30,Collision,12,
Ret,6,Canada Nicholas Latifi,Williams-Mercedes,0,Collision,14,
