Position,Number,Driver,Constructor,Q1,Q2,Q3,Final grid
1,33,Netherlands Max Verstappen,Red Bull Racing-Honda,1:31.001,1:31.080,1:29.990,1
2,44,United Kingdom Lewis Hamilton,Mercedes,1:31.237,1:30.778,1:30.248,2
3,77,Finland Valtteri Bottas,Mercedes,1:31.669,1:30.735,1:30.376,3
4,11,Mexico Sergio Pérez,Red Bull Racing-Honda,1:31.560,1:30.971,1:30.445,4
5,55,Spain Carlos Sainz Jr.,Ferrari,1:32.079,1:31.146,1:30.840,5
6,10,France Pierre Gasly,AlphaTauri-Honda,1:31.898,1:31.353,1:30.868,6
7,16,Monaco Charles Leclerc,Ferrari,1:32.209,1:31.567,1:30.987,7
8,4,United Kingdom Lando Norris,McLaren-Mercedes,1:31.733,1:31.542,1:31.252,8
9,14,Spain Fernando Alonso,Alpine-Renault,1:32.158,1:31.549,1:31.340,9
10,3,Australia Daniel Ricciardo,McLaren-Mercedes,1:32.181,1:31.615,1:31.382,10
11,31,France Esteban Ocon,Alpine-Renault,1:32.139,1:31.736,N/A,11
12,5,Germany Sebastian Vettel,Aston Martin-Mercedes,1:32.132,1:31.767,N/A,12
13,99,Italy Antonio Giovinazzi,Alfa Romeo Racing-Ferrari,1:32.722,1:31.813,N/A,13
14,63,United Kingdom George Russell,Williams-Mercedes,1:33.060,1:32.065,N/A,14
15,47,Germany Mick Schumacher,Haas-Ferrari,1:32.942,No time,N/A,15
16,6,Canada Nicholas Latifi,Williams-Mercedes,1:33.062,N/A,N/A,16
17,7,Finland Kimi Räikkönen,Alfa Romeo Racing-Ferrari,1:33.354,N/A,N/A,17
18,9,Russian Automobile Federation Nikita Mazepin,Haas-Ferrari,1:33.554,N/A,N/A,18
19,18,Canada Lance Stroll,Aston Martin-Mercedes,2:12.584,N/A,N/A,19
20,22,Japan Yuki Tsunoda,AlphaTauri-Honda,No time,N/A,N/A,PL
