Position,Number,Driver,Constructor,Laps,Time/Retired,Grid,Points
1,33,Netherlands Max Verstappen,Red Bull Racing-Honda,53,1:27:25.770,1,26
2,44,United Kingdom Lewis Hamilton,Mercedes,53,+2.904,2,18
3,11,Mexico Sergio Pérez,Red Bull Racing-Honda,53,+8.811,4,15
4,77,Finland Valtteri Bottas,Mercedes,53,+14.618,3,12
5,4,United Kingdom Lando Norris,McLaren-Mercedes,53,+1:04.032,8,10
6,3,Australia Daniel Ricciardo,McLaren-Mercedes,53,+1:15.857,10,8
7,10,France Pierre Gasly,AlphaTauri-Honda,53,+1:16.596,6,6
8,14,Spain Fernando Alonso,Alpine-Renault,53,+1:17.695,9,4
9,5,Germany Sebastian Vettel,Aston Martin-Mercedes,53,+1:19.666,12,2
10,18,Canada Lance Stroll,Aston Martin-Mercedes,53,+1:31.946,19,1
11,55,Spain Carlos Sainz Jr.,Ferrari,53,+1:39.337,5,
12,63,United Kingdom George Russell,Williams-Mercedes,52,+1 lap,14,
13,22,Japan Yuki Tsunoda,AlphaTauri-Honda,52,+1 lap,PL,
14,31,France Esteban Ocon,Alpine-Renault,52,+1 lap,11,
15,99,Italy Antonio Giovinazzi,Alfa Romeo Racing-Ferrari,52,+1 lap,13,
16,16,Monaco Charles Leclerc,Ferrari,52,+1 lap,7,
17,7,Finland Kimi Räikkönen,Alfa Romeo Racing-Ferrari,52,+1 lap,17,
18,6,Canada Nicholas Latifi,Williams-Mercedes,52,+1 lap,16,
19,47,Germany Mick Schumacher,Haas-Ferrari,52,+1 lap,15,
20,9,Russian Automobile Federation Nikita Mazepin,Haas-Ferrari,52,+1 lap,18,
