Position,Number,Driver,Constructor,Laps,Time/Retired,Grid,Points
1,44,United Kingdom Lewis Hamilton,Mercedes,57,1:24:28.471,1,25
2,33,Netherlands Max Verstappen,Red Bull Racing-Honda,57,+25.743,7,19
3,14,Spain Fernando Alonso,Alpine-Renault,57,+59.457,3,15
4,11,Mexico Sergio Pérez,Red Bull Racing-Honda,57,+1:02.306,11,12
5,31,France Esteban Ocon,Alpine-Renault,57,+1:20.570,9,10
6,18,Canada Lance Stroll,Aston Martin-Mercedes,57,+1:21.274,12,8
7,55,Spain Carlos Sainz Jr.,Ferrari,57,+1:21.911,5,6
8,16,Monaco Charles Leclerc,Ferrari,57,+1:23.126,13,4
9,4,United Kingdom Lando Norris,McLaren-Mercedes,56,+1 lap,4,2
10,5,Germany Sebastian Vettel,Aston Martin-Mercedes,56,+1 lap,10,1
11,10,France Pierre Gasly,AlphaTauri-Honda,56,+1 lap,2,
12,3,Australia Daniel Ricciardo,McLaren-Mercedes,56,+1 lap,14,
13,22,Japan Yuki Tsunoda,AlphaTauri-Honda,56,+1 lap,8,
14,7,Finland Kimi Räikkönen,Alfa Romeo Racing-Ferrari,56,+1 lap,16,
15,99,Italy Antonio Giovinazzi,Alfa Romeo Racing-Ferrari,56,+1 lap,18,
16,47,Germany Mick Schumacher,Haas-Ferrari,56,+1 lap,19,
17,63,United Kingdom George Russell,Williams-Mercedes,55,+2 laps,15,
18,9,Russian Automobile Federation Nikita Mazepin,Haas-Ferrari,55,+2 laps,20,
Ret,6,Canada Nicholas Latifi,Williams-Mercedes,50,Puncture,17,
Ret,77,Finland Valtteri Bottas,Mercedes,48,Puncture damage,6,
