Position,Number,Driver,Constructor,Q1,Q2,Q3,Final grid
1,44,United Kingdom Lewis Hamilton,Mercedes,1:18.245,1:17.166,1:16.741,1
2,33,Netherlands Max Verstappen,Red Bull Racing-Honda,1:18.090,1:16.922,1:16.777,2
3,77,Finland Valtteri Bottas,Mercedes,1:18.005,1:17.142,1:16.873,3
4,16,Monaco Charles Leclerc,Ferrari,1:18.041,1:17.717,1:17.510,4
5,31,France Esteban Ocon,Alpine-Renault,1:18.281,1:17.743,1:17.580,5
6,55,Spain Carlos Sainz Jr.,Ferrari,1:18.205,1:17.656,1:17.620,6
7,3,Australia Daniel Ricciardo,McLaren-Mercedes,1:18.264,1:17.719,1:17.622,7
8,11,Mexico Sergio Pérez,Red Bull Racing-Honda,1:18.203,1:17.669,1:17.701,8
9,4,United Kingdom Lando Norris,McLaren-Mercedes,1:17.821,1:17.696,1:18.010,9
10,14,Spain Fernando Alonso,Alpine-Renault,1:18.281,1:17.966,1:18.147,10
11,18,Canada Lance Stroll,Aston Martin-Mercedes,1:18.241,1:17.974,N/A,11
12,10,France Pierre Gasly,AlphaTauri-Honda,1:18.190,1:17.982,N/A,12
13,5,Germany Sebastian Vettel,Aston Martin-Mercedes,1:18.289,1:18.079,N/A,13
14,99,Italy Antonio Giovinazzi,Alfa Romeo Racing-Ferrari,1:18.549,1:18.356,N/A,14
15,63,United Kingdom George Russell,Williams-Mercedes,1:18.445,1:19.154,N/A,15
16,22,Japan Yuki Tsunoda,AlphaTauri-Honda,1:18.556,N/A,N/A,16
17,7,Finland Kimi Räikkönen,Alfa Romeo Racing-Ferrari,1:18.917,N/A,N/A,17
18,47,Germany Mick Schumacher,Haas-Ferrari,1:19.117,N/A,N/A,18
19,6,Canada Nicholas Latifi,Williams-Mercedes,1:19.219,N/A,N/A,19
20,9,Russian Automobile Federation Nikita Mazepin,Haas-Ferrari,1:19.807,N/A,N/A,20
